Title,Price,Review,Link
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 7 258V - (32 GB/1 TB SSD/Windows 11 ...,"₹1,54,990",NULL,https://www.flipkart.com/samsung-galaxy-book5-360-ai-pc-full-metal-chasis-intel-core-ultra-7-258v-32-gb-1-tb-ssd-windows-11-home-np750qha-2-1-laptop/p/itm9c70697149bf4?pid=COMH9PHPXDRZ34KK&lid=LSTCOMH9PHPXDRZ34KKRLF6DF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJt53Z1AJmpUjaZ_k2neKv_KLRCoe1LEiT7Wuc7HNlZjfuvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
AXL Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop,"₹16,990",3.7,https://www.flipkart.com/axl-intel-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-15w-lap02-thin-light-laptop/p/itm50377e8d175f3?pid=COMGTFYWGDHXDKWN&lid=LSTCOMGTFYWGDHXDKWN1UQRIH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJv3TK4oyA7TH3PpNCxsDm5SjtL0hvFUAsZd46LQBxwqCQ%3D%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹52,990",4.2,https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-a715-76g-548j-gaming-laptop/p/itm20708ce5793f7?pid=COMGP8QVTK3EQDXE&lid=LSTCOMGP8QVTK3EQDXEDMBVDN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMGP8QVTK3EQDXE.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
ASUS Vivobook S 15 Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Home) K5504VAB-BN417WS...,"₹83,990",4.5,https://www.flipkart.com/asus-vivobook-s-15-intel-core-i9-13th-gen-13900h-16-gb-512-gb-ssd-windows-11-home-k5504vab-bn417ws-thin-light-laptop/p/itm0eb223e3c7544?pid=COMH3J9YUEFZSCF5&lid=LSTCOMH3J9YUEFZSCF5I3MRSV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMH3J9YUEFZSCF5.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ322WS Th...,"₹29,990",4.2,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj322ws-thin-light-laptop/p/itm968db504ada5b?pid=COMGMGXFQZGYKEZG&lid=LSTCOMGMGXFQZGYKEZGUU1BUT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMGMGXFQZGYKEZG.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹48,990",4.2,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-x1504za-nj540ws-x1504za-nj542ws-thin-light-laptop/p/itm200184e4e0443?pid=COMHYG8ZSP9DC2GZ&lid=LSTCOMHYG8ZSP9DC2GZECEZQA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMHYG8ZSP9DC2GZ.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,"₹1,14,990",4.9,https://www.flipkart.com/samsung-galaxy-book5-360-ai-pc-full-metal-chasis-intel-core-ultra-5-226v-16-gb-512-gb-ssd-windows-11-home-np750qha-2-1-laptop/p/itmc76ec3e8002b4?pid=COMH9PHPRY2KUCGG&lid=LSTCOMH9PHPRY2KUCGGMW1YZ7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJuR0FpPw8FPXuiEN7kUQy1iBMaPYk766nwLiBt-PWtSGK8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/512 GB SSD/Windows 1...,"₹1,49,990",NULL,https://www.flipkart.com/samsung-galaxy-book5-pro-ai-pc-full-metal-chasis-intel-core-ultra-7-256v-16-gb-512-gb-ssd-windows-11-home-np960xha-thin-light-laptop/p/itmb62602d502fd5?pid=COMH9PHPFYJSJKH7&lid=LSTCOMH9PHPFYJSJKH7SSDAR0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_IuwYKhIU3m2dR4eEPOSs0Ie0B3IPHir1qHYacuCtwJt3j2hmEYwKvUBjoNFs7dNzF7VTRfi_Ul9w_jXMPcqc8PKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ323WS Thin...,"₹36,990",4.3,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj323ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMGZDQJ7WBQQ7AR&lid=LSTCOMGZDQJ7WBQQ7ARKVDISD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMGZDQJ7WBQQ7AR.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹32,990",4.3,https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=46e807b0-8333-4785-b3df-26aeb2535483.COMGT2ZXC24MFNFA.SEARCH&ppt=None&ppn=None&ssid=vgvrh5jeao0000001744952658479&qH=312f91285e048e09
